carat,cut,color,clarity,depth,table,price,x,y,z
0.43,Premium,E,SI2,60.5,56.0,880,1.83,1.85,1.12
2.02,Ideal,F,VS2,64.1,57.0,11849,9.53,9.44,6.08
1.35,Ideal,E,VS1,62.1,57.0,7300,5.57,5.55,3.46
0.56,Premium,H,VVS2,60.8,55.0,1429,2.36,2.36,1.44
0.42,Very Good,J,VS2,62.6,56.0,607,1.75,1.76,1.1
2.48,Very Good,D,VS2,60.9,59.0,18823,11.39,11.51,6.97
0.42,Good,E,VS2,62.1,56.0,809,1.73,1.72,1.07
0.26,Ideal,E,SI1,61.1,59.0,374,1.01,1.03,0.63
0.87,Premium,G,IF,61.3,57.0,3740,3.92,3.91,2.4
1.08,Ideal,G,IF,61.7,58.0,4313,5.01,4.99,3.09
0.4,Fair,H,VS1,61.0,57.0,566,1.8,1.82,1.1
0.36,Ideal,H,SI1,61.1,58.0,541,1.52,1.51,0.93
0.48,Ideal,G,VVS2,61.4,55.0,1007,2.47,2.49,1.52
0.31,Very Good,G,SI2,63.1,55.0,423,1.26,1.25,0.79
1.32,Very Good,I,VS2,62.3,57.0,4269,5.9,5.89,3.67
1.16,Very Good,F,VVS2,61.6,57.0,4592,4.68,4.69,2.89
0.81,Very Good,D,I1,62.6,60.0,2110,3.44,3.48,2.17
1.07,Premium,E,VS2,60.2,54.0,4398,5.31,5.25,3.17
0.34,Premium,D,SI1,60.9,57.0,516,1.48,1.5,0.91
0.53,Very Good,F,VVS2,61.9,56.0,1121,2.26,2.23,1.39
0.43,Premium,F,VVS1,61.0,62.0,1073,1.88,1.89,1.15
1.07,Good,D,SI2,62.1,58.0,3681,4.89,4.88,3.03
0.28,Very Good,H,SI2,59.3,58.0,326,1.14,1.15,0.68
0.3,Premium,G,IF,62.4,56.0,529,1.38,1.38,0.86
0.68,Premium,E,VS2,62.4,62.0,2223,3.0,2.98,1.86
0.44,Ideal,H,SI2,61.9,57.0,814,1.99,1.97,1.23
0.28,Very Good,H,SI2,62.0,57.0,341,1.17,1.17,0.72
0.26,Premium,E,IF,60.7,54.0,435,0.99,0.99,0.6
0.52,Premium,J,VS2,60.6,58.0,1015,2.27,2.28,1.38
0.87,Fair,E,VVS1,62.0,55.0,2613,3.59,3.58,2.22
0.23,Premium,I,VS2,61.3,59.0,326,0.93,0.94,0.57
0.88,Very Good,J,VS1,61.2,56.0,2444,3.68,3.72,2.26
0.68,Good,H,SI1,63.4,59.0,1387,2.99,2.98,1.89
0.4,Ideal,H,SI2,64.4,62.0,672,1.74,1.75,1.12
0.22,Ideal,J,VVS2,61.6,55.0,326,0.92,0.95,0.58
1.95,Ideal,E,SI2,62.8,56.0,11789,8.2,8.32,5.18
0.44,Very Good,E,VS1,62.6,56.0,973,1.82,1.82,1.14
1.56,Good,H,SI2,62.0,61.0,5275,6.23,6.28,3.88
0.57,Ideal,I,VS2,61.3,59.0,1222,2.15,2.17,1.32
0.62,Premium,H,VS1,61.9,59.0,1252,2.78,2.79,1.72
0.4,Good,J,I1,62.6,56.0,448,1.69,1.71,1.06
